"Term_Phrase_Item","Category","Definition_Origin_Example","Tags"
"Un gallego entra a una farmacia: - ¿Tiene pastillas para la tontería? - ¡Pero hombre! ¡Si eso no existe! - ¡Qué suerte! ¡Justo se me acabaron!","JOKE (Joke)","A Galician (Spaniard, often stereotyped as simpletons in jokes) enters a pharmacy: - Do you have pills for foolishness? - But man! That doesn't exist! - How lucky! I just ran out!","Joke, Stereotype (Gallego), Humour"
"¿A dónde van los gatos cuando se mueren? - PurGATOrio.","JOKE (Joke)","Where do cats go when they die? - PurGATOry (purgatorio + gato).","Joke, Wordplay, Pun, Animals, Religion"
"¿Cómo se llama un boomerang que no vuelve? - Un palo.","JOKE (Joke)","What do you call a boomerang that doesn't come back? - A stick.","Joke, Simple"
"¿Cómo se queda un mago después de comer? - Magordito.","JOKE (Joke)","What happens to a magician after eating? - He gets chubby (mago + gordito).","Joke, Wordplay, Pun"
"¿Cuál es el animal más antiguo? - La cebra, porque está en blanco y negro.","JOKE (Joke)","What's the oldest animal? - The zebra, because it's in black and white (like old photos/TV).","Joke, Pun, Animals"
"¿Cuál es el colmo de Aladdín? - Tener mal genio.","JOKE (Joke)","What's the ultimate irony/problem for Aladdin? - To have a bad temper (mal genio) / a bad genie (genio).","Joke, Wordplay, Pun, Cultural Reference"
"¿Cuál es la fruta mas paciente? - Es pera.","JOKE (Joke)","Which fruit is the most patient? - It's a pear (espera = wait).","Joke, Wordplay, Pun, Food"
"¿Cuál es la fruta más divertida? - La naranja ja ja ja ja.","JOKE (Joke)","Which fruit is the most fun? - The orange (naranja, with ""ja ja ja"" mimicking laughter).","Joke, Wordplay, Pun, Food"
"¿Cuál es el vino más amargo? - Vino mi suegra.","JOKE (Joke)","What is the most bitter wine? - My mother-in-law came (vino mi suegra; ""vino"" is wine and also ""came"").","Joke, Wordplay, Pun, Family, Humor"
"¿Por qué el café fue a la escuela? - Porque quería ser más fuerte.","JOKE (Joke)","Why did the coffee go to school? - Because it wanted to be stronger (fuerte can mean strong in flavor or physically strong).","Joke, Pun, Food"
"¿Por qué los pájaros no usan Facebook? - Porque ya tienen Twitter.","JOKE (Joke)","Why don't birds use Facebook? - Because they already have Twitter (plays on ""tweet"").","Joke, Pun, Animals, Technology"
"¿Por qué se fue el tamal al hospital? - Porque 'ta malito.","JOKE (Joke)","Why did the tamal go to the hospital? - Because it was sick ('ta malito = está malito).","Joke, Wordplay, Pun, Food"
"¿Qué hace una abeja en el gimnasio? - ¡Zum-ba!","JOKE (Joke)","What does a bee do in the gym? - Zumba! (Plays on ""zumba"" exercise and ""zumbar"" - to buzz).","Joke, Wordplay, Pun, Animals"
"¿Qué le dice un techo a otro? - Techo de menos.","JOKE (Joke)","What does one roof say to another? - I miss you (plays on ""techo de menos"" sounding like ""te echo de menos"" - I miss you).","Joke, Wordplay, Pun"
"¿Qué le dice una iguana a su hermana gemela? - Somos iguanitas.","JOKE (Joke)","What does one iguana say to her twin sister? - We are identical little iguanas (iguanitas also sounds like ""igualitas"" - identical little ones).","Joke, Wordplay, Pun, Animals"
"¿Qué le dijo el semáforo al coche? - No me mires, me estoy cambiando.","JOKE (Joke)","What did the traffic light say to the car? - Don't look at me, I'm changing (colors).","Joke, Personification"
"¿Qué le dijo una piedra a otra? - ¡La vida es dura!","JOKE (Joke)","What did one rock say to another? - Life is hard! (Dura means hard, both physically and metaphorically).","Joke, Pun"
"¿Qué te pasa, calabaza? - Nada, nada, limonada.","JOKE (Joke)","What's up, pumpkin? - Nothing, nothing, lemonade. A playful, rhyming exchange.","Joke, Rhyme, Greeting_Response, Playful"
"¿Qué dice una taza a otra taza? - ¿Qué taza ciendo?","JOKE (Joke)","What does one cup say to another cup? - What are you doing? (qué taza ciendo sounds like ""qué estás haciendo"").","Joke, Wordplay, Pun, Objects"
"Obvio, microbio.","JOKE (Joke)","Obviously, microbe. A rhyming, dismissive way to respond when someone states the obvious. Example: ""—El sol sale por el este. —Obvio, microbio.""","Joke, Rhyme, Sarcasm, Filler_Response"
"Chao, chao, bacalao.","WORDPLAY (Wordplay / Pun)","Bye bye, codfish. A playful, rhyming way to say goodbye. Example: ""Bueno, me voy. ¡Chao, chao, bacalao!""","Wordplay, Rhyme, Farewell"
"Eso, eso, pan con queso.","WORDPLAY (Wordplay / Pun)","That, that, bread with cheese. A rhyming way to express agreement. Example: ""—Creo que deberíamos irnos. —Eso, eso, pan con queso.""","Wordplay, Rhyme, Agreement"
"Me canso ganso.","WORDPLAY (Wordplay / Pun)","I'm tired, goose. A rhyming phrase to express tiredness playfully. Example: ""Después de tanto trabajar, me canso ganso.""","Wordplay, Rhyme, Expression"
"Camarón, caramelo. Caramelo, camarón.","TONGUE_TWISTER (Tongue Twister)","Shrimp, caramel. Caramel, shrimp.","Tongue Twister, Simple, Repetition"
"Erre con erre cigarro, erre con erre barril. Rápido corren los carros, cargados de azúcar del ferrocarril.","TONGUE_TWISTER (Tongue Twister)","R with R cigar, R with R barrel. Quickly run the carts, loaded with sugar from the railway. (Focuses on the ""rr"" sound).","Tongue Twister, Sound Practice (rr)"
"Juan junta juncos junto a la zanja.","TONGUE_TWISTER (Tongue Twister)","Juan gathers reeds next to the ditch.","Tongue Twister, Alliteration"
"Pancha plancha con cuatro planchas. ¿Con cuántas planchas Pancha plancha?","TONGUE_TWISTER (Tongue Twister)","Pancha irons with four irons. With how many irons does Pancha iron?","Tongue Twister, Alliteration"
"Papá pone pan para Pepín. Para Pepín pone pan papá.","TONGUE_TWISTER (Tongue Twister)","Dad puts bread for Pepin. For Pepin dad puts bread.","Tongue Twister, Alliteration, Repetition"
"Pepe Pecas pica papas con un pico. Con un pico pica papas Pepe Pecas.","TONGUE_TWISTER (Tongue Twister)","Pepe Pecas pecks potatoes with a pick. With a pick Pepe Pecas pecks potatoes.","Tongue Twister, Alliteration"
"Tres tristes tigres tragaban trigo en un trigal. En un trigal, tres tristes tigres tragaban trigo.","TONGUE_TWISTER (Tongue Twister)","Three sad tigers were eating wheat in a wheat field. In a wheat field, three sad tigers were eating wheat.","Tongue Twister, Classic"
"Bueno...","FILLER_WORD (Filler Word / Interjection)","""Well..."" or ""Okay..."" used to transition, hesitate, or introduce a statement.","Filler Words & Interjections, Pausing/Hesitation/Emotion Conveyors, transition, hesitation"
"Che","FILLER_WORD (Filler Word / Interjection)","(Also a general slang term and term of address) Can be used as a filler, similar to ""hey"" or ""well."" (Note: This is a second entry for Che, focusing on its filler role. Primary entry under SLANG.)","Filler Words & Interjections, Pausing/Hesitation/Emotion Conveyors, slang, address term"
"Dale","FILLER_WORD (Filler Word / Interjection)","""Okay,"" ""Go ahead,"" ""Come on."" (Very versatile, can also be an exclamation). (Note: Also an exclamation)","Filler Words & Interjections, Pausing/Hesitation/Emotion Conveyors, versatile, exclamation"
"Este...","FILLER_WORD (Filler Word / Interjection)","""Um..."" or ""uh..."" used when hesitating or thinking.","Filler Words & Interjections, Pausing/Hesitation/Emotion Conveyors, hesitation"
"LPM (La puta madre)","FILLER_WORD (Filler Word / Interjection)","(Vulgar) ""Damn it!,"" ""For fuck's sake!"" (Exclamation of anger, frustration, surprise, or emphasis). Context: Can alleviate anger humorously or express strong emotion.","Filler Words & Interjections, Exclamations, vulgar, anger, frustration, surprise, emphasis"
"¡Mirá vos!","FILLER_WORD (Filler Word / Interjection)","""Look at that!"", ""Well, I never!"", ""Fancy that!"" (Expressing surprise or interest).","Filler Words & Interjections, Exclamations, surprise, interest"
"O sea","FILLER_WORD (Filler Word / Interjection)","""I mean..."" or ""In other words..."" used for clarification.","Filler Words & Interjections, Pausing/Hesitation/Emotion Conveyors, clarification"
"¡Qué bajón!","FILLER_WORD (Filler Word / Interjection)","What a bummer! How disappointing!","Idioms & Colloquial Phrases, Common Informal Phrases, exclamation"
"¡Qué bárbaro!","FILLER_WORD (Filler Word / Interjection)","""Awesome!"", ""Fantastic!"", ""Amazing!"" (Can also mean ""how awful!"" depending on context and tone, but more often positive).","Filler Words & Interjections, Exclamations, context dependent"
"Tipo...","FILLER_WORD (Filler Word / Interjection)","Like..., Sort of... Used as a filler when hesitating or explaining. Example: ""Y, tipo, no sabía qué decirle."" (And, like, I didn't know what to say to him.)","Filler Word, Hesitation"
"¡Uh! / ¡Uy!","FILLER_WORD (Filler Word / Interjection)","""Oops!"", ""Oh!"" (Expressing surprise, mild pain, or realizing a mistake).","Filler Words & Interjections, Exclamations, surprise, pain, mistake"
"Viste","FILLER_WORD (Filler Word / Interjection)","""You know?"" or ""See?"" Often used at the end of sentences to check for understanding or agreement.","Filler Words & Interjections, Pausing/Hesitation/Emotion Conveyors, agreement"
"¡Dale!","FILLER_WORD (Filler Word / Interjection)","""Come on!"", ""Let's go!"", ""Okay!"" (Note: Also a versatile filler)","Filler Words & Interjections, Exclamations, (also filler)"
"Cole","SHORTCUT (Shortcut / Reduction)","Short for ""colegio"" (school).","Conversational Shortcuts & Reductions, Abbreviations & Acronyms"
"Facu","SHORTCUT (Shortcut / Reduction)","Short for ""facultad"" (university faculty/college).","Conversational Shortcuts & Reductions, Abbreviations & Acronyms"
"Finde","SHORTCUT (Shortcut / Reduction)","Short for ""fin de semana"" (weekend). Example: ""¿Qué hacés este finde?"" (What are you doing this weekend?)","Conversational Shortcuts & Reductions, Contracted Forms"
"LPM","SHORTCUT (Shortcut / Reduction)","Short for ""La puta madre"" (strong expletive). (Also listed as an Exclamation)","Conversational Shortcuts & Reductions, Abbreviations & Acronyms, vulgar, expletive"
"Pa'","SHORTCUT (Shortcut / Reduction)","Short for ""para"" (for, to). Example: ""Voy pa'lla."" (Voy para allá - I'm going over there.)","Conversational Shortcuts & Reductions, Contracted Forms"
"Porfa","SHORTCUT (Shortcut / Reduction)","Short for ""por favor"" (please).","Conversational Shortcuts & Reductions, Abbreviations & Acronyms"
"Bronca","UNIQUE_CONCEPT (Unique Concept / Word)","A feeling of anger, frustration, resentment, or powerlessness, often mixed with sadness. Example: ""Me da bronca que no se haga justicia."" (It makes me angry/frustrated that there's no justice.)",""
"Chamuyo/Chamuyar","UNIQUE_CONCEPT (Unique Concept / Word)","The act of sweet-talking, smooth-talking, flirting, or trying to persuade someone with charming but possibly insincere words. A ""chamuyero"" is someone skilled at this. It's an art of verbal seduction or persuasion beyond simple lying. (Also listed under Lunfardo/SLANG)","Unique Local Words/Concepts (Lacking Direct Translation), (also lunfardo, slang)"
"Fiaca","UNIQUE_CONCEPT (Unique Concept / Word)","More than just ""laziness,"" it describes a specific state of languor, a lack of motivation or energy, often accepted with a certain resignation or even indulgence. It's a culturally understood reason for not doing something. (Also listed under General Slang)","Unique Local Words/Concepts (Lacking Direct Translation), (also slang, italian origin)"
"Mala leche","UNIQUE_CONCEPT (Unique Concept / Word)","Can mean ""bad luck"" (tener mala leche) or ""bad intentions/ill will"" (ser mala leche / actuar de mala leche). Literally ""bad milk."" Example (bad luck): ""Perdí la billetera, ¡qué mala leche!"" (I lost my wallet, what bad luck!) Example (bad intentions): ""Me lo dijo con mala leche, para herirme."" (He told me with ill will, to hurt me.)","Unique Concept, Idiom, Luck, Intention"
"Mufa","UNIQUE_CONCEPT (Unique Concept / Word)","A feeling of bad luck, negativity, or a jinx hanging over someone or a situation. One can ""estar mufado"" (be jinxed) or ""ser mufa"" (be a jinx-bringer).","Unique Local Words/Concepts (Lacking Direct Translation)"
"Pancho/a","UNIQUE_CONCEPT (Unique Concept / Word)","Can mean a calm/relaxed person, someone clueless/silly, or a familiar address. Also a hot dog. Its versatility and multiple meanings make it unique in usage.","Unique Local Words/Concepts (Lacking Direct Translation), versatile"
"Quilombo","UNIQUE_CONCEPT (Unique Concept / Word)","While translatable as ""mess"" or ""brothel,"" its nuance in Argentina often implies a uniquely chaotic, tangled, and often frustrating situation that goes beyond a simple mess. It has historical roots and complex cultural weight. (Also listed under General Slang)","Unique Local Words/Concepts (Lacking Direct Translation), (also slang, lunfardo)"
"Sobremesa","UNIQUE_CONCEPT (Unique Concept / Word)","The tradition of lingering and chatting at the table after a meal is finished. It's a valued social practice. Example: ""El asado estuvo bueno, pero la sobremesa fue lo mejor."" (The barbecue was good, but the after-meal conversation was the best.)","Unique Concept, Cultural Practice, Social, Food"
"Yeta","UNIQUE_CONCEPT (Unique Concept / Word)","Bad luck, a jinx. Someone can ""ser yeta"" (be a jinx) or ""tener yeta"" (have bad luck). Similar to ""mufa."","Unique Local Words/Concepts (Lacking Direct Translation)"
"Zarpado/a","UNIQUE_CONCEPT (Unique Concept / Word)","Its wide range of meanings (intense, extreme, very good, awesome, out of line, over the top) depending heavily on context and intonation makes its usage quite distinct. (Also listed under General Slang)","Unique Local Words/Concepts (Lacking Direct Translation), context dependent, (also slang)"
"Asado","CULTURAL_REFERENCE (Cultural Reference)","A traditional Argentinian barbecue, a very important social and culinary event.",""
"Dulce de Leche","CULTURAL_REFERENCE (Cultural Reference)","A sweet, caramel-like spread made from milk and sugar, a national obsession.",""
"Facturas","CULTURAL_REFERENCE (Cultural Reference)","Pastries, typically eaten for breakfast or with mate. Not to be confused with ""factura"" meaning bill/invoice. Example: ""Traje facturas para el mate."" (I brought pastries for the mate.)","Cultural Reference, Food, Breakfast"
"Gardel","CULTURAL_REFERENCE (Cultural Reference)","Carlos Gardel, the iconic tango singer. To say someone ""es Gardel"" or ""se cree Gardel"" can mean they are the best or think they are the best, sometimes ironically. Phrases like ""Veinte años no es nada"" (from his song ""Volver"") are culturally resonant.","Cultural References, historical figure, tango, music"
"Maradona","CULTURAL_REFERENCE (Cultural Reference)","Diego Maradona, the football legend. References to his goals (e.g., ""la mano de Dios"" - the hand of God), his personality, or saying someone ""es Maradona"" in their field.","Cultural References, historical figure, football, sports"
"Mate","CULTURAL_REFERENCE (Cultural Reference)","A traditional South American caffeine-rich infused drink, particularly popular in Argentina. It's also a social ritual.",""
"Piropo","CULTURAL_REFERENCE (Cultural Reference)","A comment, often a ""compliment"" (though frequently unsolicited and potentially unwelcome), made by men to women in the street. It's a complex cultural phenomenon, sometimes seen as charming, often as harassment. Example: ""Le tiraron un piropo cuando caminaba por la calle."" (Someone made a catcall/street compliment to her when she was walking down the street.)","Cultural Reference, Social Interaction, Gender, Complex"
"Buen día / Buenas tardes / Buenas noches","GREETING_FAREWELL (Greeting / Farewell)","Good day / Good afternoon / Good evening/night.","Greetings & Farewells (Informal), greeting, time-dependent"
"Buenas","GREETING_FAREWELL (Greeting / Farewell)","Short for ""buenas tardes"" (good afternoon) or ""buenas noches"" (good evening/night). Can be used as a general greeting.",""
"Chau","GREETING_FAREWELL (Greeting / Farewell)","Bye. (Very common, from Italian ""ciao"").","Greetings & Farewells (Informal), farewell, italian origin"
"¿Cómo andás?","GREETING_FAREWELL (Greeting / Farewell)","How are you doing? (Uses ""vos"" conjugation).","Greetings & Farewells (Informal), greeting, vos"
"Hasta luego","GREETING_FAREWELL (Greeting / Farewell)","See you later.","Greetings & Farewells (Informal), farewell"
"Hola","GREETING_FAREWELL (Greeting / Farewell)","Hello.","Greetings & Farewells (Informal), greeting"
"Nos vemos","GREETING_FAREWELL (Greeting / Farewell)","See you.","Greetings & Farewells (Informal), farewell"
"¿Qué hacés?","GREETING_FAREWELL (Greeting / Farewell)","What are you doing? / How are you? (Common informal greeting using ""vos""). Example: ""Che, ¿qué hacés?"" (Hey, what's up?)","Greeting, Informal, Vos"
"¿Qué onda?","GREETING_FAREWELL (Greeting / Farewell)","What's up? / How's it going? (Informal greeting). Example: ""¿Qué onda, loco?"" (What's up, man?)","Greeting, Informal"
"¿Todo bien?","GREETING_FAREWELL (Greeting / Farewell)","All good? / Everything okay? (Common greeting and response).","Greetings & Farewells (Informal), greeting, response"
"Bebecito/a","ENDEARMENT (Endearment / Address)","Little baby. A very affectionate term, often for a romantic partner or a very young child. Example: ""Te quiero, bebecito."" (I love you, little baby.)","Endearment, Affectionate, Romantic, Diminutive"
"Bombón","ENDEARMENT (Endearment / Address)","Sweetie, cutie (literally ""chocolate"" or ""marshmallow""). Often used for attractive people or loved ones. Example: ""¡Qué bombón es tu hijo!"" (What a cutie your son is!)","Endearment, Affectionate, Attraction"
"Cariño","ENDEARMENT (Endearment / Address)","Darling, dear, sweetie. (Gender-neutral as a noun). Example: ""Hola, cariño, ¿cómo estás?"" (Hello, darling, how are you?)","Endearment, Affectionate, Common"
"Che","ENDEARMENT (Endearment / Address)","(As an address) Hey, you, mate, pal. (Note: Also listed under SLANG and FILLER_WORD)","Terms of Endearment & Address, address term, (also slang, filler word)"
"Cielo / Cielito","ENDEARMENT (Endearment / Address)","Heaven / Little heaven. Used like ""darling"" or ""sweetheart."" Example: ""Ven aquí, cielo."" (Come here, sweetheart.)","Endearment, Affectionate, Poetic"
"Corazón","ENDEARMENT (Endearment / Address)","Heart / sweetheart.","Terms of Endearment & Address, affectionate"
"Corazón de melón","ENDEARMENT (Endearment / Address)","Sweetheart (literally ""melon heart""). A playful and affectionate term. Example: ""Adiós, corazón de melón."" (Goodbye, sweetheart.)","Endearment, Affectionate, Playful"
"Cosita rica","ENDEARMENT (Endearment / Address)","(Very informal, can be suggestive) Tasty little thing. Example: ""Vení acá, cosita rica."" (Come here, tasty little thing.)","Endearment, Informal, Flirtatious, Suggestive"
"Flaco/Flaca","ENDEARMENT (Endearment / Address)","(Literally ""skinny"") Similar to ""gordo/a,"" used affectionately for friends or loved ones, regardless of their build.","Terms of Endearment & Address, affectionate"
"Gordo/Gorda","ENDEARMENT (Endearment / Address)","(Literally ""fatty"") Common term of endearment for loved ones (partners, children, friends), regardless of their weight. Can also be ""Gordi."" Example: ""Hola, gorda, ¿cómo estás?"" (Hi sweetie, how are you?)","Terms of Endearment & Address, affectionate"
"Lindo/a","ENDEARMENT (Endearment / Address)","Pretty, handsome, lovely. Can be used as a direct term of address. Example: ""Gracias, linda."" (Thanks, pretty.)","Endearment, Affectionate, Compliment"
"Loco/a","ENDEARMENT (Endearment / Address)","(Literally ""crazy"") Dude, mate, pal. Used between friends. Example: ""¿Qué hacés, loco?"" (What are you doing, man?)","Terms of Endearment & Address, address term, friends"
"Mi amor","ENDEARMENT (Endearment / Address)","My love. (Common for partners, family).","Terms of Endearment & Address, affectionate, partners, family"
"Mi rey / Mi reina","ENDEARMENT (Endearment / Address)","My king / My queen. Affectionate and somewhat grand term for a loved one. Example: ""¿Qué necesita mi reina?"" (What does my queen need?)","Endearment, Affectionate, Grand, Romantic"
"Mi vida","ENDEARMENT (Endearment / Address)","My life. A very common and deep term of endearment for loved ones. Example: ""Te amo, mi vida."" (I love you, my life.)","Endearment, Affectionate, Deep, Romantic, Familial"
"Mijo/Mija","ENDEARMENT (Endearment / Address)","Contraction of ""mi hijo/a"" (my son/daughter). Used by parents, but also more broadly as an affectionate term for younger people or loved ones, similar to ""honey"" or ""dear."" Example: ""Mija, tené cuidado."" (Honey, be careful.)","Endearment, Affectionate, Familiar, Parental"
"Negro/Negra","ENDEARMENT (Endearment / Address)","(Literally ""black"") Term of endearment for friends, family, or partners, regardless of actual skin color. Can be very affectionate. (Use by outsiders could be misinterpreted).","Terms of Endearment & Address, affectionate, caution"
"Nene/Nena","ENDEARMENT (Endearment / Address)","Boy/Girl, but often used as an affectionate term for children, partners, or close friends, similar to ""kiddo"" or ""sweetie"". Example: ""Vení, nena, dame un abrazo."" (Come here, sweetie, give me a hug.)","Endearment, Affectionate, Familiar"
"Papi/Mami Chulo/a","ENDEARMENT (Endearment / Address)","(Can be very informal/flirtatious) Daddy/Mommy handsome/pretty. Often used between romantic partners. Example: ""Hola, papi chulo."" (Hello, handsome daddy.)","Endearment, Flirtatious, Romantic, Informal"
"Precioso/a","ENDEARMENT (Endearment / Address)","Precious. A strong term of affection. Example: ""Mi preciosa hija."" (My precious daughter.)","Endearment, Affectionate, Strong"
"Tesoro","ENDEARMENT (Endearment / Address)","Treasure. Used to call someone dear or precious. Example: ""Sos mi tesoro."" (You are my treasure.)","Endearment, Affectionate, Precious"
"Viejo/a","ENDEARMENT (Endearment / Address)","(Literally ""old man/woman"") Can be used to refer to one's parents (""mis viejos"") or sometimes affectionately between long-term partners.","Terms of Endearment & Address, family, affectionate"
"Posta","OTHER (Other)","Really, truly, for real. Used to emphasize truth or to ask for confirmation. Example: ""¿En serio te dijo eso? - ¡Posta!"" (Did he really tell you that? - For real!)",""
"Flash / Flashear","OTHER (Other)","(Can be a noun or verb) To be surprised, to imagine things, to be mistaken, to have a sudden (often strange) idea or perception. ""Flash"" as a noun can mean something surprising or a sudden insight. Example (verb): ""Flasheé que te había visto ayer."" (I mistakenly thought I saw you yesterday / I hallucinated seeing you.) Example (noun): ""¡Qué flash!"" (How weird! / What a trip!)",""
"Alto/Alta","OTHER (Other)","(Literally ""high"" or ""tall"") Used as an intensifier, meaning ""very,"" ""a lot of,"" ""great,"" or ""big."" Example: ""¡Alta fiesta!"" (What a great party!) ""Tiene alta facha."" (He's very good-looking.)",""

